t0,m0,mw,x,y,z,area,dt
662116836468.671,5.215554009130958e+19,7.0782,201046.722514,5019890.990929,-10000.0,650565766.4789,23.76416015625
662419386193.8912,5.033158185382164e+20,7.73456,134520.79234,4933491.873782,-15080.122842,5752616401.33125,84.3304443359375
662510643126.4962,6.730257071748469e+19,7.152021,192442.273881,4938088.978366,-12000.0,565135369.553678,21.5396728515625
662744842774.2043,6.6669589861058e+20,7.815952,198740.794479,5024555.754505,-14526.315789,5992011177.315436,103.6993408203125
662984757343.1177,4.536351479749862e+19,7.037804,1036288.740365,5900047.365814,-3750.0,610128161.472189,21.9046630859375
663198894916.5425,6.807736372720987e+19,7.155335,961009.803887,5743706.488504,-9000.0,970137054.155281,42.01416015625
663241447754.5903,1.54307890894548e+21,8.058925,33135.21887,4669424.085654,-19609.756098,9104487330.785542,65.281982421875
663462838233.5349,5.325311322905566e+19,7.08423,777779.968851,5339209.978707,-4500.0,697553733.897299,21.0389404296875
663564299810.5504,1.6908922957031162e+20,7.418744,1913896.204704,7223002.738071,-16054.054054,2304819725.228831,33.260986328125
663635243612.8379,8.375001776686391e+19,7.215323,93270.297623,4903373.294222,-4674.796748,883937860.98887,27.898681640625
663869793681.2175,8.038879761565663e+19,7.203464,156384.383915,4971882.322169,-11020.408163,898791301.337875,28.2833251953125
663939926929.8092,1.5951051058114347e+20,7.40186,708089.664981,5341805.454597,-12600.0,1287713112.813332,33.7222900390625
664286845769.0176,5.746563638840897e+19,7.106272,970644.707687,5579022.608888,-5400.0,551575443.604033,19.396484375
664460036151.3909,8.922138245011322e+19,7.233646,70816.961171,4688337.344694,-10800.0,1056998019.101002,35.7464599609375
664599798971.4524,8.100506237397278e+20,7.872341,327540.921,5113052.882326,-12750.0,5544514220.391712,117.5001220703125
665483383550.1257,2.0943146093950288e+20,7.480695,803253.502657,5342279.701704,-7615.384615,1837886103.470767,55.1048583984375
665483383630.2448,2.5450995532016527e+20,7.537137,821711.654295,5355542.36193,-14594.594595,3355801344.110842,22.0966796875
665537980167.993,3.0399089979401523e+22,8.921907,1945399.195849,7156913.079658,-4540.540541,91591958584.50963,443.036376953125
665583707088.6256,1.0279472184816017e+20,7.274647,62605.287857,4788266.400268,-12600.0,1080354884.885951,32.5126953125
665710700072.4464,8.8680134855941e+19,7.231884,789209.788219,5349935.284141,-12000.0,880456561.465758,28.116943359375
